evaluation_id,protocol_id,task_identity_id,dataset_artifact_id,suite_id,dataset_id,task_name,task_family,target,sample_unit,task_type,num_samples,endpoint,metric,direction,protocol,reference_url,audit_status,audit_notes
pathorob.tcga_4x4.average_performance_drop,pathorob.tcga_4x4.average_performance_drop,task.pathorob.tcga_4x4.tcga-4x4-average-performance-drop,artifact.pathorob.tcga_4x4,pathorob,tcga_4x4,tcga_4x4 average_performance_drop,shortcut_generalization,average_performance_drop,patch,robustness_analysis,not_reported,average_performance_drop,average_performance_drop,higher,"PathoROB endpoint catalog across TCGA 2x2, TCGA 4x4, Camelyon, and Tolkach ESCA. Signed APD is higher/closer to zero when better; APD-ID and APD-OOD require separate score-bearing protocols.",https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,parsed_primary_source,TCGA has distinct 2x2 and 4x4 robustness endpoints. Generic APD rows are catalog placeholders only: the published APD-ID and APD-OOD means are represented by separate Nature-2026 protocols and never merged into this ambiguous endpoint.
pathorob.camelyon.average_performance_drop,pathorob.camelyon.average_performance_drop,task.pathorob.camelyon.camelyon-average-performance-drop,artifact.pathorob.camelyon,pathorob,camelyon,camelyon average_performance_drop,shortcut_generalization,average_performance_drop,patch,robustness_analysis,not_reported,average_performance_drop,average_performance_drop,higher,"PathoROB endpoint catalog across TCGA 2x2, TCGA 4x4, Camelyon, and Tolkach ESCA. Signed APD is higher/closer to zero when better; APD-ID and APD-OOD require separate score-bearing protocols.",https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,parsed_primary_source,TCGA has distinct 2x2 and 4x4 robustness endpoints. Generic APD rows are catalog placeholders only: the published APD-ID and APD-OOD means are represented by separate Nature-2026 protocols and never merged into this ambiguous endpoint.
pathorob.tolkach_esca.average_performance_drop,pathorob.tolkach_esca.average_performance_drop,task.pathorob.tolkach_esca.tolkach-esca-average-performance-drop,artifact.pathorob.tolkach_esca,pathorob,tolkach_esca,tolkach_esca average_performance_drop,shortcut_generalization,average_performance_drop,patch,robustness_analysis,not_reported,average_performance_drop,average_performance_drop,higher,"PathoROB endpoint catalog across TCGA 2x2, TCGA 4x4, Camelyon, and Tolkach ESCA. Signed APD is higher/closer to zero when better; APD-ID and APD-OOD require separate score-bearing protocols.",https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,parsed_primary_source,TCGA has distinct 2x2 and 4x4 robustness endpoints. Generic APD rows are catalog placeholders only: the published APD-ID and APD-OOD means are represented by separate Nature-2026 protocols and never merged into this ambiguous endpoint.
pathorob.tcga_2x2.clustering_score,pathorob.tcga_2x2.clustering_score,task.pathorob.tcga_2x2.tcga-2x2-clustering-score,artifact.pathorob.tcga_2x2,pathorob,tcga_2x2,tcga_2x2 clustering_score,clustering_robustness,clustering_score,patch,robustness_analysis,not_reported,clustering_score,clustering_score,higher,"PathoROB center-robustness protocol across TCGA 2x2, TCGA 4x4, Camelyon, and Tolkach ESCA benchmark datasets.",https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,parsed_primary_source,"TCGA has distinct 2x2 and 4x4 robustness endpoints; current RI leaderboard reports TCGA 2x2, Camelyon, and Tolkach ESCA only, so TCGA 4x4 remains an unscored catalog endpoint."
pathorob.tcga_4x4.clustering_score,pathorob.tcga_4x4.clustering_score,task.pathorob.tcga_4x4.tcga-4x4-clustering-score,artifact.pathorob.tcga_4x4,pathorob,tcga_4x4,tcga_4x4 clustering_score,clustering_robustness,clustering_score,patch,robustness_analysis,not_reported,clustering_score,clustering_score,higher,"PathoROB center-robustness protocol across TCGA 2x2, TCGA 4x4, Camelyon, and Tolkach ESCA benchmark datasets.",https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,parsed_primary_source,"TCGA has distinct 2x2 and 4x4 robustness endpoints; current RI leaderboard reports TCGA 2x2, Camelyon, and Tolkach ESCA only, so TCGA 4x4 remains an unscored catalog endpoint."
pathorob.camelyon.clustering_score,pathorob.camelyon.clustering_score,task.pathorob.camelyon.camelyon-clustering-score,artifact.pathorob.camelyon,pathorob,camelyon,camelyon clustering_score,clustering_robustness,clustering_score,patch,robustness_analysis,not_reported,clustering_score,clustering_score,higher,"PathoROB center-robustness protocol across TCGA 2x2, TCGA 4x4, Camelyon, and Tolkach ESCA benchmark datasets.",https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,parsed_primary_source,"TCGA has distinct 2x2 and 4x4 robustness endpoints; current RI leaderboard reports TCGA 2x2, Camelyon, and Tolkach ESCA only, so TCGA 4x4 remains an unscored catalog endpoint."
pathorob.tolkach_esca.clustering_score,pathorob.tolkach_esca.clustering_score,task.pathorob.tolkach_esca.tolkach-esca-clustering-score,artifact.pathorob.tolkach_esca,pathorob,tolkach_esca,tolkach_esca clustering_score,clustering_robustness,clustering_score,patch,robustness_analysis,not_reported,clustering_score,clustering_score,higher,"PathoROB center-robustness protocol across TCGA 2x2, TCGA 4x4, Camelyon, and Tolkach ESCA benchmark datasets.",https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,parsed_primary_source,"TCGA has distinct 2x2 and 4x4 robustness endpoints; current RI leaderboard reports TCGA 2x2, Camelyon, and Tolkach ESCA only, so TCGA 4x4 remains an unscored catalog endpoint."
pathorob.nature2026.all_datasets.apd_id,pathorob.nature2026.all_datasets.apd_id,task.pathorob.all_datasets.apd_id,artifact.pathorob.camelyon+tcga_4x4+tolkach_esca,pathorob,all_datasets,all-dataset apd_id,shortcut_generalization,signed relative generalization-performance change under spurious medical-center correlation,patch,robustness_analysis,n=60 model-level observations (20 repetitions x 3 datasets),apd_id,average_performance_drop_percent,higher_closer_to_zero,"Mean signed relative accuracy change from the balanced split across all nonbaseline spurious-correlation splits, 20 repetitions, and three datasets; ID and OOD are distinct endpoints.",https://www.nature.com/articles/s41467-026-73923-2,parsed_primary_source,"Canonical published signed APD mean from Nature Source Data Fig. 3d. Registry-eligible but factor-analysis-ineligible: the source defines no bounded common-scale normalization, so normalized_score is intentionally blank and its score audit_status excludes it from matrix loading."
pathorob.nature2026.all_datasets.apd_ood,pathorob.nature2026.all_datasets.apd_ood,task.pathorob.all_datasets.apd_ood,artifact.pathorob.camelyon+tcga_4x4+tolkach_esca,pathorob,all_datasets,all-dataset apd_ood,shortcut_generalization,signed relative generalization-performance change under spurious medical-center correlation,patch,robustness_analysis,n=60 model-level observations (20 repetitions x 3 datasets),apd_ood,average_performance_drop_percent,higher_closer_to_zero,"Mean signed relative accuracy change from the balanced split across all nonbaseline spurious-correlation splits, 20 repetitions, and three datasets; ID and OOD are distinct endpoints.",https://www.nature.com/articles/s41467-026-73923-2,parsed_primary_source,"Canonical published signed APD mean from Nature Source Data Fig. 3d. Registry-eligible but factor-analysis-ineligible: the source defines no bounded common-scale normalization, so normalized_score is intentionally blank and its score audit_status excludes it from matrix loading."
pathorob.nature2026.camelyon.clustering_score,pathorob.nature2026.camelyon.clustering_score,task.pathorob.camelyon.camelyon-clustering-score,artifact.pathorob.camelyon,pathorob,camelyon,camelyon clustering_score,clustering_robustness,clustering_score,patch,robustness_analysis,not_reported,clustering_score,clustering_score,higher,"K-means with cosine distance; K selected by maximum silhouette score; clustering score is ARI(biology)-ARI(medical center), averaged over balanced 2x2 combinations and 50 random initializations.",https://www.nature.com/articles/s41467-026-73923-2,parsed_primary_source,"Canonical published mean from Nature Source Data Fig. 6b; approximately [-1,1], normalized as (score+1)*50. Shares task identity and dataset artifact with the generic PathoROB clustering endpoint."
pathorob.nature2026.tcga_4x4.clustering_score,pathorob.nature2026.tcga_4x4.clustering_score,task.pathorob.tcga_4x4.tcga-4x4-clustering-score,artifact.pathorob.tcga_4x4,pathorob,tcga_4x4,tcga_4x4 clustering_score,clustering_robustness,clustering_score,patch,robustness_analysis,not_reported,clustering_score,clustering_score,higher,"K-means with cosine distance; K selected by maximum silhouette score; clustering score is ARI(biology)-ARI(medical center), averaged over balanced 2x2 combinations and 50 random initializations.",https://www.nature.com/articles/s41467-026-73923-2,parsed_primary_source,"Canonical published mean from Nature Source Data Fig. 6b; approximately [-1,1], normalized as (score+1)*50. Shares task identity and dataset artifact with the generic PathoROB clustering endpoint."
pathorob.nature2026.tolkach_esca.clustering_score,pathorob.nature2026.tolkach_esca.clustering_score,task.pathorob.tolkach_esca.tolkach-esca-clustering-score,artifact.pathorob.tolkach_esca,pathorob,tolkach_esca,tolkach_esca clustering_score,clustering_robustness,clustering_score,patch,robustness_analysis,not_reported,clustering_score,clustering_score,higher,"K-means with cosine distance; K selected by maximum silhouette score; clustering score is ARI(biology)-ARI(medical center), averaged over balanced 2x2 combinations and 50 random initializations.",https://www.nature.com/articles/s41467-026-73923-2,parsed_primary_source,"Canonical published mean from Nature Source Data Fig. 6b; approximately [-1,1], normalized as (score+1)*50. Shares task identity and dataset artifact with the generic PathoROB clustering endpoint."
pathobench.exaone2025.bc_therapy.er-status,pathobench.exaone2025.bc_therapy.er-status,task.pathobench.bc_therapy.er-status,artifact.pathobench.bc_therapy,pathobench,bc_therapy,er_status,molecular_subtyping,er_status,case,classification,166,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.bc_therapy.er-status; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.bc_therapy.grade,pathobench.exaone2025.bc_therapy.grade,task.pathobench.bc_therapy.grade,artifact.pathobench.bc_therapy,pathobench,bc_therapy,grade,tumor_grading,grade,case,classification,166,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.bc_therapy.grade; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.bc_therapy.her2-status,pathobench.exaone2025.bc_therapy.her2-status,task.pathobench.bc_therapy.her2-status,artifact.pathobench.bc_therapy,pathobench,bc_therapy,her2_status,molecular_subtyping,her2_status,case,classification,166,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.bc_therapy.her2-status; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.bc_therapy.residual-cancer-burden,pathobench.exaone2025.bc_therapy.residual-cancer-burden,task.pathobench.bc_therapy.residual-cancer-burden,artifact.pathobench.bc_therapy,pathobench,bc_therapy,residual_cancer_burden,treatment_response,residual_cancer_burden,case,classification,159,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.bc_therapy.residual-cancer-burden; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.bcnb.er,pathobench.exaone2025.bcnb.er,task.pathobench.bcnb.er,artifact.pathobench.bcnb,pathobench,bcnb,er,molecular_subtyping,er,case,classification,1058,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.bcnb.er; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.bcnb.her2,pathobench.exaone2025.bcnb.her2,task.pathobench.bcnb.her2,artifact.pathobench.bcnb,pathobench,bcnb,her2,molecular_subtyping,her2,case,classification,1058,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.bcnb.her2; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.bcnb.pr,pathobench.exaone2025.bcnb.pr,task.pathobench.bcnb.pr,artifact.pathobench.bcnb,pathobench,bcnb,pr,molecular_subtyping,pr,case,classification,1058,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.bcnb.pr; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.boehmk_.pfs,pathobench.exaone2025.boehmk_.pfs,task.pathobench.boehmk_.pfs,artifact.pathobench.boehmk_,pathobench,boehmk_,PFS,survival_prediction,PFS,case,survival,183,exaone2025_cox_probe,cindex,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.boehmk_.pfs; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.bracs.slidelevel-coarse,pathobench.exaone2025.bracs.slidelevel-coarse,task.pathobench.bracs.slidelevel-coarse,artifact.pathobench.bracs,pathobench,bracs,slidelevel_coarse,morphological_subtyping,slidelevel_coarse,slide,classification,547,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.bracs.slidelevel-coarse; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.bracs.slidelevel-fine,pathobench.exaone2025.bracs.slidelevel-fine,task.pathobench.bracs.slidelevel-fine,artifact.pathobench.bracs,pathobench,bracs,slidelevel_fine,morphological_subtyping,slidelevel_fine,slide,classification,547,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.bracs.slidelevel-fine; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_brca.immune-class,pathobench.exaone2025.cptac_brca.immune-class,task.pathobench.cptac_brca.immune-class,artifact.pathobench.cptac_brca,pathobench,cptac_brca,Immune_class,tme_characterization,Immune_class,case,classification,103,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_brca.immune-class; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_brca.pik3ca-mutation,pathobench.exaone2025.cptac_brca.pik3ca-mutation,task.pathobench.cptac_brca.pik3ca-mutation,artifact.pathobench.cptac_brca,pathobench,cptac_brca,PIK3CA_mutation,mutation_prediction,PIK3CA_mutation,case,classification,103,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_brca.pik3ca-mutation; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_brca.tp53-mutation,pathobench.exaone2025.cptac_brca.tp53-mutation,task.pathobench.cptac_brca.tp53-mutation,artifact.pathobench.cptac_brca,pathobench,cptac_brca,TP53_mutation,mutation_prediction,TP53_mutation,case,classification,103,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_brca.tp53-mutation; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_ccrcc.bap1-mutation,pathobench.exaone2025.cptac_ccrcc.bap1-mutation,task.pathobench.cptac_ccrcc.bap1-mutation,artifact.pathobench.cptac_ccrcc,pathobench,cptac_ccrcc,BAP1_mutation,mutation_prediction,BAP1_mutation,case,classification,103,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_ccrcc.bap1-mutation; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_ccrcc.immune-class,pathobench.exaone2025.cptac_ccrcc.immune-class,task.pathobench.cptac_ccrcc.immune-class,artifact.pathobench.cptac_ccrcc,pathobench,cptac_ccrcc,Immune_class,tme_characterization,Immune_class,case,classification,103,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_ccrcc.immune-class; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_ccrcc.os,pathobench.exaone2025.cptac_ccrcc.os,task.pathobench.cptac_ccrcc.os,artifact.pathobench.cptac_ccrcc,pathobench,cptac_ccrcc,OS,survival_prediction,OS,case,survival,94,exaone2025_cox_probe,cindex,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_ccrcc.os; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_ccrcc.pbrm1-mutation,pathobench.exaone2025.cptac_ccrcc.pbrm1-mutation,task.pathobench.cptac_ccrcc.pbrm1-mutation,artifact.pathobench.cptac_ccrcc,pathobench,cptac_ccrcc,PBRM1_mutation,mutation_prediction,PBRM1_mutation,case,classification,103,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_ccrcc.pbrm1-mutation; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_ccrcc.vhl-mutation,pathobench.exaone2025.cptac_ccrcc.vhl-mutation,task.pathobench.cptac_ccrcc.vhl-mutation,artifact.pathobench.cptac_ccrcc,pathobench,cptac_ccrcc,VHL_mutation,mutation_prediction,VHL_mutation,case,classification,103,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_ccrcc.vhl-mutation; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_coad.acvr2a-mutation,pathobench.exaone2025.cptac_coad.acvr2a-mutation,task.pathobench.cptac_coad.acvr2a-mutation,artifact.pathobench.cptac_coad,pathobench,cptac_coad,ACVR2A_mutation,mutation_prediction,ACVR2A_mutation,case,classification,94,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_coad.acvr2a-mutation; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_coad.apc-mutation,pathobench.exaone2025.cptac_coad.apc-mutation,task.pathobench.cptac_coad.apc-mutation,artifact.pathobench.cptac_coad,pathobench,cptac_coad,APC_mutation,mutation_prediction,APC_mutation,case,classification,94,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_coad.apc-mutation; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_coad.arid1a-mutation,pathobench.exaone2025.cptac_coad.arid1a-mutation,task.pathobench.cptac_coad.arid1a-mutation,artifact.pathobench.cptac_coad,pathobench,cptac_coad,ARID1A_mutation,mutation_prediction,ARID1A_mutation,case,classification,94,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_coad.arid1a-mutation; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_coad.immune-class,pathobench.exaone2025.cptac_coad.immune-class,task.pathobench.cptac_coad.immune-class,artifact.pathobench.cptac_coad,pathobench,cptac_coad,Immune_class,tme_characterization,Immune_class,case,classification,94,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_coad.immune-class; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_coad.kras-mutation,pathobench.exaone2025.cptac_coad.kras-mutation,task.pathobench.cptac_coad.kras-mutation,artifact.pathobench.cptac_coad,pathobench,cptac_coad,KRAS_mutation,mutation_prediction,KRAS_mutation,case,classification,94,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_coad.kras-mutation; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
pathobench.exaone2025.cptac_coad.msi-h,pathobench.exaone2025.cptac_coad.msi-h,task.pathobench.cptac_coad.msi-h,artifact.pathobench.cptac_coad,pathobench,cptac_coad,MSI_H,molecular_subtyping,MSI_H,case,classification,93,exaone2025_linear_probe,macro-ovr-auc,higher,EXAONE Path 2.5 Table 4 protocol: official Patho-Bench predefined 5-fold/50-fold splits; fixed THREADS-style logistic-regression linear probe for classification and Cox probe for survival; all classification tasks use macro one-vs-rest AUROC and survival uses C-index.,https://arxiv.org/pdf/2512.14019v1,parsed_primary_source,"Protocol variant of pathobench.cptac_coad.msi-h; shares task_identity_id and dataset_artifact_id but is kept separate because EXAONE reports macro-OvR AUROC for every classification task, including tasks whose current HF config uses bacc or weighted_kappa."
